,LATDD83,LONGDD83,YEAR,MONTH,DAY,fire,TEMP_MAX,TEMP_MIN,AVG_RELATIVE_HUMIDITY,AVG_10M_WIND,AVG_100M_WIND,AVG_PRECIPITATION,APPARENT_TEMP,CLOUD_LOW,CLOUD_HIGH,CLOUD_MID,CLOUD,AVG_WEATHER_CONDITION,AVG_SOIL_TEMP,AVG_SOIL_MOISTURE,ELEVATION,NDVI
22971,47.78940690354739,-104.00713886448442,2021,6,13,0,84.1865005493164,54.57649993896485,47.37960815429688,8.87085247039795,15.40156078338623,0.0,67.63678741455078,0.0,1.8333333730697632,5.333333492279053,4.916666507720947,0.0,71.4852523803711,0.2242916822433471,578.0,0.3652
22972,43.95597027297834,-111.91351215757116,2022,2,5,0,24.946701049804688,8.476701736450195,86.9760513305664,5.264974117279053,8.830536842346191,0.0083333337679505,8.733794212341309,74.70833587646484,54.33333206176758,37.91666793823242,87.0,3.0,28.30670166015625,0.2370000034570694,1496.0,-0.0345
22973,42.744636710511706,-85.60270296082574,2022,7,8,0,80.24810028076172,69.98809814453125,80.41426849365234,6.6767425537109375,10.861737251281738,0.170833334326744,79.15540313720703,44.16666793823242,89.20833587646484,41.375,96.125,3.0,74.4168472290039,0.2637499868869781,245.0,0.4251
22974,47.63996681269411,-115.4035957063114,2022,2,17,0,43.26800155639648,17.88800048828125,77.55127716064453,5.791781902313232,11.234039306640623,0.0041666668839752,24.136383056640625,34.58333206176758,40.79166793823242,30.41666603088379,54.91666793823242,0.0,36.16925048828125,0.3562916815280914,711.0,0.1429
22975,47.36280203900958,-113.49353547954578,2022,7,9,0,60.148399353027344,40.258399963378906,70.70893096923828,6.410624980926514,11.0867919921875,0.1666666716337204,47.6800651550293,3.375,24.95833396911621,8.75,27.625,0.0,47.6609001159668,0.3459583222866058,2639.0,0.2145
22976,47.17273553801845,-108.17390011688362,2021,6,23,0,90.3676986694336,67.68769836425781,27.00458717346192,16.695890426635742,25.442758560180664,0.0,74.93749237060547,0.0,58.375,11.791666984558104,61.16666793823242,3.0,82.80020141601562,0.1459583193063736,903.0,0.3651
22977,36.62140701469066,-110.3572500423749,2022,8,28,0,75.73100280761719,53.41100311279297,45.316349029541016,11.078361511230469,16.569780349731445,0.0,61.01937484741211,0.0,2.4583332538604736,10.375,13.333333015441896,0.0,68.89849853515625,0.2657500207424164,2288.0,0.4272
22978,44.112156555484056,-114.13926429870033,2022,4,16,0,27.964401245117188,9.064397811889648,70.72183227539062,8.400986671447754,16.315086364746094,0.3666666746139526,10.058018684387209,67.70833587646484,69.95833587646484,99.45833587646484,99.70833587646484,73.0,21.578149795532227,0.3951667249202728,2705.0,0.0907
22979,46.43388979059615,-117.4647318334365,2023,4,26,0,67.82719421386719,39.29719924926758,65.5755386352539,6.347393035888672,8.731210708618164,0.0,46.48238754272461,0.9583333134651184,83.5,2.0416667461395264,82.20833587646484,3.0,52.39970016479492,0.2960000038146972,736.0,0.4067
22980,43.118744331682805,-112.37646832703224,2022,5,6,0,65.75360107421875,45.41360092163086,51.68472671508789,18.70242118835449,29.9637451171875,0.0666666626930236,47.736663818359375,11.5,35.83333206176758,53.79166793823242,68.625,3.0,55.58359909057617,0.2359166592359542,1464.0,0.4129
22981,33.10431340726688,-108.86105624361473,2023,2,24,0,51.65419769287109,26.274200439453125,69.85271453857422,8.637054443359375,15.074477195739746,0.0,30.60248756408692,0.7916666865348816,24.08333396911621,0.5,26.41666603088379,0.0,39.42170333862305,0.2964999973773956,1793.0,0.373
22982,35.80406657666681,-114.50669343076032,2023,11,27,0,54.5531005859375,34.933101654052734,39.10637283325195,13.518887519836426,20.49629020690918,0.0,36.00748062133789,0.0,54.5,0.0,54.5,3.0,45.80060195922852,0.0157500002533197,653.0,0.139
